PrimaryKey,DBKey,EcologicalSiteId,Latitude_NAD83,Longitude_NAD83,
15050113465465692019-09-20,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-10-18,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-11-15,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-12-12,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-01-23,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-02-18,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-03-17,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-04-14,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-05-12,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692020-06-09,20Sep19-9Jun20JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-06-24,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-07-31,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-08-26,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-09-22,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-10-22,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-11-24,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692015-12-22,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-01-27,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-02-23,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-04-20,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-05-17,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-06-14,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-07-13,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-08-09,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-09-08,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-10-06,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-11-02,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692016-12-01,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-01-12,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-02-08,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-03-08,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-04-05,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-05-02,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-05-30,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-06-27,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-07-26,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-08-23,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-09-20,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-10-18,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-11-15,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692017-12-20,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-01-16,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-02-13,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-03-14,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-04-10,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-05-09,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-06-06,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-07-05,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-08-01,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-08-29,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-09-27,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-10-26,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-11-20,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692018-12-20,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-02-04,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-03-05,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
15050113465465692019-04-04,24Jun15-7Jul21JERMWACDIMA5.5aasof2020-03-10, UNKNOWN,32.6271,-106.739,
