"","PrimaryKey","indicator","nwern_percent","percent","line_length","interval","n_lines","pin_n","difference","group"
"84","15050113465465692016-03-28","PC",29.6795952782462,26.530612244898,100,200,1,50,3.14898303334825,"I_200_L_100_N_1"
"85","15050113465465692016-03-28","PC",29.6795952782462,37,25,25,2,200,-7.32040472175379,"I_25_L_25_N_2"
"86","15050113465465692016-03-28","PC",29.6795952782462,21.3197969543147,50,25,2,400,8.35979832393149,"I_25_L_50_N_2"
"87","15050113465465692016-03-28","PC",29.6795952782462,30.8470290771176,100,25,2,800,-1.16743379887136,"I_25_L_100_N_2"
"88","15050113465465692016-03-28","PC",29.6795952782462,29,25,50,2,100,0.679595278246207,"I_50_L_25_N_2"
"89","15050113465465692016-03-28","PC",29.6795952782462,27.7777777777778,50,50,2,200,1.90181750046843,"I_50_L_50_N_2"
"90","15050113465465692016-03-28","PC",29.6795952782462,26.010101010101,100,50,2,400,3.6694942681452,"I_50_L_100_N_2"
"91","15050113465465692016-03-28","PC",29.6795952782462,28,25,100,2,50,1.67959527824621,"I_100_L_25_N_2"
"92","15050113465465692016-03-28","PC",29.6795952782462,21,50,100,2,100,8.67959527824621,"I_100_L_50_N_2"
"93","15050113465465692016-03-28","PC",29.6795952782462,24.7474747474747,100,100,2,200,4.93212053077146,"I_100_L_100_N_2"
"94","15050113465465692016-03-28","PC",29.6795952782462,38.4615384615385,25,200,2,26,-8.78194318329225,"I_200_L_25_N_2"
"95","15050113465465692016-03-28","PC",29.6795952782462,26,50,200,2,50,3.67959527824621,"I_200_L_50_N_2"
"96","15050113465465692016-03-28","PC",29.6795952782462,28.5714285714286,100,200,2,100,1.10816670681763,"I_200_L_100_N_2"
"97","15050113465465692016-03-28","PC",29.6795952782462,31.3333333333333,25,25,3,300,-1.65373805508712,"I_25_L_25_N_3"
"98","15050113465465692016-03-28","PC",29.6795952782462,25.7191201353638,50,25,3,600,3.96047514288242,"I_25_L_50_N_3"
"99","15050113465465692016-03-28","PC",29.6795952782462,29.6795952782462,100,25,3,1200,0,"NWERN Base"
"100","15050113465465692016-03-28","PC",29.6795952782462,28,25,50,3,150,1.67959527824621,"I_50_L_25_N_3"
"101","15050113465465692016-03-28","PC",29.6795952782462,24.2424242424242,50,50,3,300,5.43717103582197,"I_50_L_50_N_3"
"102","15050113465465692016-03-28","PC",29.6795952782462,28.1144781144781,100,50,3,600,1.56511716376809,"I_50_L_100_N_3"
"103","15050113465465692016-03-28","PC",29.6795952782462,28,25,100,3,75,1.67959527824621,"I_100_L_25_N_3"
"104","15050113465465692016-03-28","PC",29.6795952782462,21.3333333333333,50,100,3,150,8.34626194491288,"I_100_L_50_N_3"
"105","15050113465465692016-03-28","PC",29.6795952782462,25.9259259259259,100,100,3,300,3.75366935232028,"I_100_L_100_N_3"
"106","15050113465465692016-03-28","PC",29.6795952782462,33.3333333333333,25,200,3,39,-3.65373805508713,"I_200_L_25_N_3"
"107","15050113465465692016-03-28","PC",29.6795952782462,25.3333333333333,50,200,3,75,4.34626194491288,"I_200_L_50_N_3"
"108","15050113465465692016-03-28","PC",29.6795952782462,29.2517006802721,100,200,3,150,0.427894597974099,"I_200_L_100_N_3"
"109","15050113465465692016-07-19","PC",37.4052232518955,46,25,25,1,100,-8.59477674810447,"I_25_L_25_N_1"
"110","15050113465465692016-07-19","PC",37.4052232518955,39.8989898989899,50,25,1,200,-2.49376664709436,"I_25_L_50_N_1"
"111","15050113465465692016-07-19","PC",37.4052232518955,31.1392405063291,100,25,1,400,6.26598274556642,"I_25_L_100_N_1"
"112","15050113465465692016-07-19","PC",37.4052232518955,40,25,50,1,50,-2.59477674810447,"I_50_L_25_N_1"
"113","15050113465465692016-07-19","PC",37.4052232518955,38.3838383838384,50,50,1,100,-0.978615131942846,"I_50_L_50_N_1"
"114","15050113465465692016-07-19","PC",37.4052232518955,34.3434343434343,100,50,1,200,3.06178890846119,"I_50_L_100_N_1"
"115","15050113465465692016-07-19","PC",37.4052232518955,24,25,100,1,25,13.4052232518955,"I_100_L_25_N_1"
"116","15050113465465692016-07-19","PC",37.4052232518955,30,50,100,1,50,7.40522325189553,"I_100_L_50_N_1"
"117","15050113465465692016-07-19","PC",37.4052232518955,33.3333333333333,100,100,1,100,4.0718899185622,"I_100_L_100_N_1"
"118","15050113465465692016-07-19","PC",37.4052232518955,38.4615384615385,25,200,1,13,-1.05631520964292,"I_200_L_25_N_1"
"119","15050113465465692016-07-19","PC",37.4052232518955,36,50,200,1,25,1.40522325189553,"I_200_L_50_N_1"
"120","15050113465465692016-07-19","PC",37.4052232518955,38.7755102040816,100,200,1,50,-1.3702869521861,"I_200_L_100_N_1"
"121","15050113465465692016-07-19","PC",37.4052232518955,34,25,25,2,200,3.40522325189553,"I_25_L_25_N_2"
"122","15050113465465692016-07-19","PC",37.4052232518955,39.4936708860759,50,25,2,400,-2.08844763418041,"I_25_L_50_N_2"
"123","15050113465465692016-07-19","PC",37.4052232518955,34.8925410872314,100,25,2,800,2.51268216466418,"I_25_L_100_N_2"
"124","15050113465465692016-07-19","PC",37.4052232518955,30,25,50,2,100,7.40522325189553,"I_50_L_25_N_2"
"125","15050113465465692016-07-19","PC",37.4052232518955,36.3636363636364,50,50,2,200,1.04158688825917,"I_50_L_50_N_2"
"126","15050113465465692016-07-19","PC",37.4052232518955,36.8686868686869,100,50,2,400,0.536536383208663,"I_50_L_100_N_2"
"127","15050113465465692016-07-19","PC",37.4052232518955,30,25,100,2,50,7.40522325189553,"I_100_L_25_N_2"
"128","15050113465465692016-07-19","PC",37.4052232518955,32,50,100,2,100,5.40522325189553,"I_100_L_50_N_2"
"129","15050113465465692016-07-19","PC",37.4052232518955,35.3535353535354,100,100,2,200,2.05168789836018,"I_100_L_100_N_2"
