"","PrimaryKey","gap_class","nwern_percent","nwern_n","nwern_length","total_line_length","length","n","percent","group","n_lines","line_length","percent_difference"
"159","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,15000,414,35,2.76,"L_50_N_3",3,50,-0.00333333333333297
"160","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,10000,273,21,2.73,"L_100_N_1",1,100,0.0266666666666668
"161","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,20000,502,40,2.51,"L_100_N_2",2,100,0.246666666666667
"162","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,30000,827,68,2.75666666666667,"NWERN Base",3,100,0
"163","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,2500,766,5,30.64,"L_25_N_1",1,25,-8.14666666666666
"164","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,5000,1468,12,29.36,"L_25_N_2",2,25,-6.86666666666667
"165","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,7500,1957,13,26.0933333333333,"L_25_N_3",3,25,-3.6
"166","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,5000,1497,10,29.94,"L_50_N_1",1,50,-7.44666666666667
"167","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,10000,2372,16,23.72,"L_50_N_2",2,50,-1.22666666666666
"168","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,15000,3008,22,20.0533333333333,"L_50_N_3",3,50,2.44
"169","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,10000,2243,15,22.43,"L_100_N_1",1,100,0.0633333333333361
"170","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,20000,4505,32,22.525,"L_100_N_2",2,100,-0.0316666666666663
"171","15050113465465692016-07-19","101-201",22.4933333333333,47,6748,30000,6748,47,22.4933333333333,"NWERN Base",3,100,0
"172","15050113465465692016-07-19","20-25",0.946666666666667,13,284,2500,21,1,0.84,"L_25_N_1",1,25,0.106666666666667
"173","15050113465465692016-07-19","20-25",0.946666666666667,13,284,5000,90,4,1.8,"L_25_N_2",2,25,-0.853333333333333
"174","15050113465465692016-07-19","20-25",0.946666666666667,13,284,7500,23,1,0.306666666666667,"L_25_N_3",3,25,0.64
"175","15050113465465692016-07-19","20-25",0.946666666666667,13,284,5000,21,1,0.42,"L_50_N_1",1,50,0.526666666666667
"176","15050113465465692016-07-19","20-25",0.946666666666667,13,284,10000,87,4,0.87,"L_50_N_2",2,50,0.0766666666666668
"177","15050113465465692016-07-19","20-25",0.946666666666667,13,284,15000,172,8,1.14666666666667,"L_50_N_3",3,50,-0.2
"178","15050113465465692016-07-19","20-25",0.946666666666667,13,284,10000,91,4,0.91,"L_100_N_1",1,100,0.0366666666666666
"179","15050113465465692016-07-19","20-25",0.946666666666667,13,284,20000,193,9,0.965,"L_100_N_2",2,100,-0.0183333333333334
"180","15050113465465692016-07-19","20-25",0.946666666666667,13,284,30000,284,13,0.946666666666667,"NWERN Base",3,100,0
"181","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,2500,284,1,11.36,"L_25_N_1",1,25,27.6266666666667
"182","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,5000,1271,5,25.42,"L_25_N_2",2,25,13.5666666666667
"183","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,7500,2914,8,38.8533333333333,"L_25_N_3",3,25,0.133333333333333
"184","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,5000,1708,5,34.16,"L_50_N_1",1,50,4.82666666666666
"185","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,10000,3898,10,38.98,"L_50_N_2",2,50,0.00666666666666771
"186","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,15000,6243,18,41.62,"L_50_N_3",3,50,-2.63333333333334
