"","PrimaryKey","indicator","nwern_height","nwern_pin_n","mean_height","line_length","interval","n_lines","pin_n","difference","group"
"103","15050113465465692016-03-28","mean_height",26.218045112782,150,22,25,40,1,3,4.21804511278195,"I_40_L_25_N_1"
"104","15050113465465692016-03-28","mean_height",26.218045112782,150,32.1666666666667,25,40,2,6,-5.94862155388471,"I_40_L_25_N_2"
"105","15050113465465692016-03-28","mean_height",26.218045112782,150,30.625,25,40,3,9,-4.40695488721805,"I_40_L_25_N_3"
"106","15050113465465692016-03-28","mean_height",26.218045112782,150,27.5,50,8,1,25,-1.28195488721805,"I_8_L_50_N_1"
"107","15050113465465692016-03-28","mean_height",26.218045112782,150,28.1276595744681,50,8,2,50,-1.90961446168613,"I_8_L_50_N_2"
"108","15050113465465692016-03-28","mean_height",26.218045112782,150,22.5833333333333,50,8,3,75,3.63471177944862,"I_8_L_50_N_3"
"109","15050113465465692016-03-28","mean_height",26.218045112782,150,23.8333333333333,50,16,1,13,2.38471177944862,"I_16_L_50_N_1"
"110","15050113465465692016-03-28","mean_height",26.218045112782,150,35.2631578947368,50,16,2,26,-9.04511278195489,"I_16_L_50_N_2"
"111","15050113465465692016-03-28","mean_height",26.218045112782,150,21.0909090909091,50,16,3,39,5.12713602187286,"I_16_L_50_N_3"
"112","15050113465465692016-03-28","mean_height",26.218045112782,150,14,50,24,1,9,12.218045112782,"I_24_L_50_N_1"
"113","15050113465465692016-03-28","mean_height",26.218045112782,150,26.8888888888889,50,24,2,18,-0.670843776106935,"I_24_L_50_N_2"
"114","15050113465465692016-03-28","mean_height",26.218045112782,150,18.6,50,24,3,27,7.61804511278195,"I_24_L_50_N_3"
"115","15050113465465692016-03-28","mean_height",26.218045112782,150,34.3333333333333,50,32,1,7,-8.11528822055138,"I_32_L_50_N_1"
"116","15050113465465692016-03-28","mean_height",26.218045112782,150,31.3636363636364,50,32,2,14,-5.14559125085441,"I_32_L_50_N_2"
"117","15050113465465692016-03-28","mean_height",26.218045112782,150,27.1764705882353,50,32,3,21,-0.958425475453339,"I_32_L_50_N_3"
"118","15050113465465692016-03-28","mean_height",26.218045112782,150,40.75,50,40,1,5,-14.531954887218,"I_40_L_50_N_1"
"119","15050113465465692016-03-28","mean_height",26.218045112782,150,38.6666666666667,50,40,2,10,-12.4486215538847,"I_40_L_50_N_2"
"120","15050113465465692016-03-28","mean_height",26.218045112782,150,36.1538461538462,50,40,3,15,-9.9358010410642,"I_40_L_50_N_3"
"121","15050113465465692016-03-28","mean_height",26.218045112782,150,25.4186046511628,100,8,1,50,0.799440461619163,"I_8_L_100_N_1"
"122","15050113465465692016-03-28","mean_height",26.218045112782,150,23.6521739130435,100,8,2,100,2.56587119973848,"I_8_L_100_N_2"
"123","15050113465465692016-03-28","mean_height",26.218045112782,150,26.218045112782,100,8,3,150,0,"NWERN Base"
"124","15050113465465692016-03-28","mean_height",26.218045112782,150,24.0833333333333,100,16,1,25,2.13471177944862,"I_16_L_100_N_1"
"125","15050113465465692016-03-28","mean_height",26.218045112782,150,24.7333333333333,100,16,2,50,1.48471177944862,"I_16_L_100_N_2"
"126","15050113465465692016-03-28","mean_height",26.218045112782,150,28.1384615384615,100,16,3,75,-1.92041642567958,"I_16_L_100_N_3"
"127","15050113465465692016-03-28","mean_height",26.218045112782,150,19.0666666666667,100,24,1,17,7.15137844611529,"I_24_L_100_N_1"
"128","15050113465465692016-03-28","mean_height",26.218045112782,150,27.1034482758621,100,24,2,34,-0.885403163080113,"I_24_L_100_N_2"
"129","15050113465465692016-03-28","mean_height",26.218045112782,150,25.8444444444444,100,24,3,51,0.373600668337509,"I_24_L_100_N_3"
"130","15050113465465692016-03-28","mean_height",26.218045112782,150,20.625,100,32,1,13,5.59304511278195,"I_32_L_100_N_1"
"131","15050113465465692016-03-28","mean_height",26.218045112782,150,25.2727272727273,100,32,2,26,0.945317840054681,"I_32_L_100_N_2"
"132","15050113465465692016-03-28","mean_height",26.218045112782,150,24.0333333333333,100,32,3,39,2.18471177944862,"I_32_L_100_N_3"
"133","15050113465465692016-03-28","mean_height",26.218045112782,150,25.7,100,40,1,10,0.518045112781955,"I_40_L_100_N_1"
"134","15050113465465692016-03-28","mean_height",26.218045112782,150,26.1111111111111,100,40,2,20,0.106934001670844,"I_40_L_100_N_2"
"135","15050113465465692016-03-28","mean_height",26.218045112782,150,27.6071428571429,100,40,3,30,-1.3890977443609,"I_40_L_100_N_3"
"136","15050113465465692016-07-19","mean_height",25.5748031496063,150,25.9090909090909,25,8,1,12,-0.33428775948461,"I_8_L_25_N_1"
"137","15050113465465692016-07-19","mean_height",25.5748031496063,150,28.3809523809524,25,8,2,24,-2.80614923134608,"I_8_L_25_N_2"
"138","15050113465465692016-07-19","mean_height",25.5748031496063,150,28.78125,25,8,3,36,-3.2064468503937,"I_8_L_25_N_3"
"139","15050113465465692016-07-19","mean_height",25.5748031496063,150,12,25,16,1,6,13.5748031496063,"I_16_L_25_N_1"
"140","15050113465465692016-07-19","mean_height",25.5748031496063,150,27.9,25,16,2,12,-2.3251968503937,"I_16_L_25_N_2"
"141","15050113465465692016-07-19","mean_height",25.5748031496063,150,37,25,16,3,18,-11.4251968503937,"I_16_L_25_N_3"
"142","15050113465465692016-07-19","mean_height",25.5748031496063,150,13.6666666666667,25,24,1,4,11.9081364829396,"I_24_L_25_N_1"
"143","15050113465465692016-07-19","mean_height",25.5748031496063,150,19.8571428571429,25,24,2,8,5.71766029246344,"I_24_L_25_N_2"
"144","15050113465465692016-07-19","mean_height",25.5748031496063,150,10.9090909090909,25,24,3,12,14.6657122405154,"I_24_L_25_N_3"
"145","15050113465465692016-07-19","mean_height",25.5748031496063,150,10,25,32,1,3,15.5748031496063,"I_32_L_25_N_1"
"146","15050113465465692016-07-19","mean_height",25.5748031496063,150,13,25,32,2,6,12.5748031496063,"I_32_L_25_N_2"
"147","15050113465465692016-07-19","mean_height",25.5748031496063,150,33.5714285714286,25,32,3,9,-7.99662542182227,"I_32_L_25_N_3"
"148","15050113465465692016-07-19","mean_height",25.5748031496063,150,166,25,40,1,3,-140.425196850394,"I_40_L_25_N_1"
"149","15050113465465692016-07-19","mean_height",25.5748031496063,150,58,25,40,2,6,-32.4251968503937,"I_40_L_25_N_2"
"150","15050113465465692016-07-19","mean_height",25.5748031496063,150,22.7777777777778,25,40,3,9,2.79702537182852,"I_40_L_25_N_3"
"151","15050113465465692016-07-19","mean_height",25.5748031496063,150,26.1904761904762,50,8,1,25,-0.61567304086989,"I_8_L_50_N_1"
"152","15050113465465692016-07-19","mean_height",25.5748031496063,150,26.9302325581395,50,8,2,50,-1.35542940853324,"I_8_L_50_N_2"
"153","15050113465465692016-07-19","mean_height",25.5748031496063,150,27.2539682539683,50,8,3,75,-1.67916510436195,"I_8_L_50_N_3"
"154","15050113465465692016-07-19","mean_height",25.5748031496063,150,32.6363636363636,50,16,1,13,-7.06156048675733,"I_16_L_50_N_1"
"155","15050113465465692016-07-19","mean_height",25.5748031496063,150,20.2857142857143,50,16,2,26,5.28908886389202,"I_16_L_50_N_2"
"156","15050113465465692016-07-19","mean_height",25.5748031496063,150,24.0967741935484,50,16,3,39,1.47802895605791,"I_16_L_50_N_3"
"157","15050113465465692016-07-19","mean_height",25.5748031496063,150,42.4444444444444,50,24,1,9,-16.8696412948381,"I_24_L_50_N_1"
"158","15050113465465692016-07-19","mean_height",25.5748031496063,150,27.4285714285714,50,24,2,18,-1.85376827896513,"I_24_L_50_N_2"
"159","15050113465465692016-07-19","mean_height",25.5748031496063,150,17.6086956521739,50,24,3,27,7.96610749743239,"I_24_L_50_N_3"
"160","15050113465465692016-07-19","mean_height",25.5748031496063,150,16.6666666666667,50,32,1,7,8.90813648293963,"I_32_L_50_N_1"
"161","15050113465465692016-07-19","mean_height",25.5748031496063,150,26.3,50,32,2,14,-0.725196850393701,"I_32_L_50_N_2"
"162","15050113465465692016-07-19","mean_height",25.5748031496063,150,32.0714285714286,50,32,3,21,-6.49662542182227,"I_32_L_50_N_3"
"163","15050113465465692016-07-19","mean_height",25.5748031496063,150,21.2,50,40,1,5,4.3748031496063,"I_40_L_50_N_1"
"164","15050113465465692016-07-19","mean_height",25.5748031496063,150,28.3,50,40,2,10,-2.7251968503937,"I_40_L_50_N_2"
"165","15050113465465692016-07-19","mean_height",25.5748031496063,150,29.8571428571429,50,40,3,15,-4.28233970753656,"I_40_L_50_N_3"
"166","15050113465465692016-07-19","mean_height",25.5748031496063,150,21.9761904761905,100,8,1,50,3.59861267341583,"I_8_L_100_N_1"
"167","15050113465465692016-07-19","mean_height",25.5748031496063,150,25.7560975609756,100,8,2,100,-0.181294411369311,"I_8_L_100_N_2"
"168","15050113465465692016-07-19","mean_height",25.5748031496063,150,25.5748031496063,100,8,3,150,0,"NWERN Base"
"169","15050113465465692016-07-19","mean_height",25.5748031496063,150,23.4347826086957,100,16,1,25,2.14002054091065,"I_16_L_100_N_1"
"170","15050113465465692016-07-19","mean_height",25.5748031496063,150,27.5952380952381,100,16,2,50,-2.02043494563179,"I_16_L_100_N_2"
"171","15050113465465692016-07-19","mean_height",25.5748031496063,150,26.1230769230769,100,16,3,75,-0.548273773470623,"I_16_L_100_N_3"
"172","15050113465465692016-07-19","mean_height",25.5748031496063,150,34.7857142857143,100,24,1,17,-9.21091113610798,"I_24_L_100_N_1"
"173","15050113465465692016-07-19","mean_height",25.5748031496063,150,19.7931034482759,100,24,2,34,5.78169970133044,"I_24_L_100_N_2"
"174","15050113465465692016-07-19","mean_height",25.5748031496063,150,24.6744186046512,100,24,3,51,0.900384544955138,"I_24_L_100_N_3"
"175","15050113465465692016-07-19","mean_height",25.5748031496063,150,25.6363636363636,100,32,1,13,-0.0615604867573367,"I_32_L_100_N_1"
"176","15050113465465692016-07-19","mean_height",25.5748031496063,150,18.4,100,32,2,26,7.1748031496063,"I_32_L_100_N_2"
"177","15050113465465692016-07-19","mean_height",25.5748031496063,150,20.9677419354839,100,32,3,39,4.60706121412243,"I_32_L_100_N_3"
"178","15050113465465692016-07-19","mean_height",25.5748031496063,150,27.5555555555556,100,40,1,10,-1.98075240594926,"I_40_L_100_N_1"
"179","15050113465465692016-07-19","mean_height",25.5748031496063,150,30.5789473684211,100,40,2,20,-5.00414421881475,"I_40_L_100_N_2"
"180","15050113465465692016-07-19","mean_height",25.5748031496063,150,30.7692307692308,100,40,3,30,-5.19442761962447,"I_40_L_100_N_3"
"181","15050113465465692016-10-24","mean_height",25.5681818181818,150,38.9,25,8,1,12,-13.3318181818182,"I_8_L_25_N_1"
"182","15050113465465692016-10-24","mean_height",25.5681818181818,150,31.2272727272727,25,8,2,24,-5.65909090909091,"I_8_L_25_N_2"
